               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12314,            0.031839,                   0,          0.00029191,            0.041667,           0.0001518,          6.9504e-05,             0.12073,            0.030772,                   0,               5e-05,               5e-05,             0.09955
                   1,             0.12023,            0.032857,                   0,          0.00014584,            0.041667,          7.3176e-05,          3.6588e-05,             0.11777,            0.031046,                   0,          0.00010998,          0.00010998,             0.09901
                   2,             0.11875,            0.032386,                   0,          0.00030294,            0.083333,          0.00015268,          2.2561e-05,             0.11459,            0.031248,                   0,          0.00016985,          0.00016985,             0.09847
                   3,             0.11907,            0.031509,                   0,          0.00032031,            0.041667,          8.1816e-05,          8.1816e-06,             0.11248,            0.031209,                   0,          0.00022954,          0.00022954,             0.09793
                   4,             0.11531,             0.03474,                   0,           0.0044251,            0.083333,          0.00071902,          9.3511e-05,             0.10902,            0.031508,                   0,          0.00028897,          0.00028897,            0.097389
                   5,             0.11151,            0.033812,                   0,           0.0025139,               0.125,          0.00069622,          9.6279e-05,             0.10618,            0.031754,                   0,          0.00034806,          0.00034806,            0.096848
                   6,             0.11122,            0.030055,                   0,           0.0015823,            0.041667,          0.00045502,           9.143e-05,             0.10249,            0.032117,                   0,          0.00040673,          0.00040673,            0.096307
                   7,             0.10859,            0.033499,                   0,            0.002863,            0.083333,           0.0010093,          0.00017137,            0.096806,            0.033147,                   0,          0.00046491,          0.00046491,            0.095765
                   8,             0.10574,            0.032211,                   0,           0.0018923,               0.125,          0.00081554,          0.00019271,            0.093197,            0.033661,                   0,          0.00052251,          0.00052251,            0.095223
                   9,             0.10021,            0.030331,                   0,           0.0021003,               0.125,          0.00085864,          0.00018036,            0.091163,            0.033805,                   0,          0.00057946,          0.00057946,            0.094679
                  10,             0.10413,            0.031202,                   0,           0.0024705,            0.083333,            0.001012,          0.00020724,            0.087465,            0.034227,                   0,          0.00063568,          0.00063568,            0.094136
                  11,             0.10079,            0.032315,                   0,           0.0019012,             0.20833,           0.0013725,          0.00026968,            0.085604,            0.034092,                   0,          0.00069111,          0.00069111,            0.093591
                  12,            0.096459,            0.033599,                   0,           0.0019367,             0.33333,           0.0012863,          0.00028171,             0.08248,            0.034387,                   0,          0.00074567,          0.00074567,            0.093046
                  13,              0.0976,            0.030178,                   0,           0.0050152,            0.041667,           0.0028499,          0.00055417,            0.081096,            0.034131,                   0,          0.00079928,          0.00079928,            0.092499
                  14,            0.097728,            0.033547,                   0,           0.0021747,             0.20833,           0.0015491,          0.00035311,            0.079245,            0.034108,                   0,          0.00085188,          0.00085188,            0.091952
                  15,            0.095677,            0.031952,                   0,           0.0031354,             0.41667,           0.0022629,           0.0004892,            0.079476,            0.033459,                   0,          0.00090341,          0.00090341,            0.091403
                  16,            0.089632,            0.030963,                   0,           0.0030786,             0.29167,           0.0022088,          0.00056727,            0.076177,            0.034262,                   0,          0.00095378,          0.00095378,            0.090854
                  17,            0.091133,            0.033602,                   0,           0.0027861,                 0.5,           0.0022614,          0.00058545,            0.075252,            0.034131,                   0,           0.0010029,           0.0010029,            0.090303
                  18,             0.08664,            0.032187,                   0,           0.0040512,             0.54167,           0.0035264,          0.00095125,            0.075583,            0.033695,                   0,           0.0010508,           0.0010508,            0.089751
                  19,            0.090097,            0.032537,                   0,           0.0053754,                 0.5,           0.0048708,          0.00070551,            0.073708,            0.033999,                   0,           0.0010974,           0.0010974,            0.089197
                  20,            0.083014,            0.031353,                   0,           0.0073353,                0.25,           0.0055765,          0.00097385,            0.072312,            0.034142,                   0,           0.0011426,           0.0011426,            0.088643
                  21,            0.083095,            0.030269,                   0,            0.012329,               0.375,            0.009397,           0.0017154,            0.070171,            0.034428,                   0,           0.0011863,           0.0011863,            0.088086
                  22,             0.08531,            0.036618,                   0,             0.01412,             0.29167,            0.011192,            0.002688,            0.068042,             0.03469,                   0,           0.0012285,           0.0012285,            0.087529
                  23,             0.07655,             0.02997,                   0,             0.01592,             0.54167,            0.014244,           0.0037119,            0.067409,            0.034284,                   0,           0.0012692,           0.0012692,            0.086969
                  24,            0.085161,            0.029643,                   0,            0.022937,             0.41667,             0.01655,           0.0034603,            0.066817,             0.03406,                   0,           0.0013083,           0.0013083,            0.086408
                  25,            0.082613,            0.031551,                   0,            0.020199,             0.45833,            0.015459,           0.0030107,            0.067121,            0.033647,                   0,           0.0013457,           0.0013457,            0.085846
                  26,            0.073794,             0.03212,                   0,             0.02931,             0.41667,             0.02515,            0.006311,            0.063055,             0.03449,                   0,           0.0013815,           0.0013815,            0.085281
                  27,            0.081575,            0.031434,                   0,            0.047943,             0.41667,             0.03647,           0.0076073,            0.062336,            0.034279,                   0,           0.0014155,           0.0014155,            0.084715
                  28,            0.075205,            0.030498,                   0,            0.093698,                 0.5,            0.081592,            0.025948,             0.05799,            0.035296,                   0,           0.0014477,           0.0014477,            0.084148
                  29,            0.074454,            0.029977,                   0,             0.13083,             0.29167,             0.10315,             0.03018,            0.056343,            0.035665,                   0,           0.0014782,           0.0014782,            0.083578
                  30,            0.070535,            0.033183,                   0,             0.19743,             0.79167,             0.21265,            0.088648,            0.055456,            0.035323,                   0,           0.0015068,           0.0015068,            0.083007
                  31,            0.069022,            0.037078,                   0,             0.32259,             0.67477,             0.31086,             0.10896,             0.05602,            0.034705,                   0,           0.0015336,           0.0015336,            0.082434
                  32,            0.065468,            0.035804,                   0,               0.285,             0.70833,              0.2948,            0.086396,            0.056237,            0.033763,                   0,           0.0015585,           0.0015585,            0.081859
                  33,            0.069492,              0.0298,                   0,            0.078539,             0.83333,            0.080052,            0.034738,            0.058076,            0.033106,                   0,           0.0015815,           0.0015815,            0.081282
                  34,            0.070325,            0.028683,                   0,            0.091723,               0.625,            0.088092,            0.018442,            0.060787,            0.031813,                   0,           0.0016026,           0.0016026,            0.080703
                  35,            0.069056,             0.03389,                   0,             0.26758,             0.70833,             0.29817,             0.11532,            0.049458,            0.034004,                   0,           0.0016217,           0.0016217,            0.080122
                  36,            0.065855,            0.033849,                   0,             0.40062,               0.875,              0.4031,            0.091153,            0.050479,            0.032935,                   0,           0.0016389,           0.0016389,            0.079539
                  37,             0.06461,             0.02993,                   0,             0.16951,                0.75,             0.20434,            0.058443,            0.054539,            0.032057,                   0,           0.0016542,           0.0016542,            0.078954
                  38,            0.070355,             0.03276,                   0,             0.62076,             0.61417,             0.64088,             0.19404,            0.048673,            0.032629,                   0,           0.0016675,           0.0016675,            0.078367
                  39,            0.064255,            0.035399,                   0,             0.59505,             0.95833,             0.71142,             0.35391,            0.046624,            0.032628,                   0,           0.0016788,           0.0016788,            0.077779
                  40,            0.062304,            0.035587,                   0,             0.56986,                   1,             0.68161,             0.15753,            0.047322,             0.03229,                   0,           0.0016882,           0.0016882,            0.077188
                  41,            0.057989,            0.034614,                   0,             0.63694,             0.91667,             0.75513,             0.40869,            0.045413,            0.031926,                   0,           0.0016956,           0.0016956,            0.076596
                  42,            0.053929,            0.032377,                   0,             0.68565,             0.95833,             0.79715,             0.39927,            0.042784,            0.032304,                   0,           0.0017011,           0.0017011,            0.076001
                  43,             0.05587,            0.029824,                   0,             0.54595,             0.95833,             0.70835,               0.294,            0.043778,            0.031341,                   0,           0.0017047,           0.0017047,            0.075405
                  44,            0.052171,            0.035326,                   0,             0.47823,                   1,             0.60938,             0.11089,            0.056104,            0.028246,                   0,           0.0017063,           0.0017063,            0.074806
                  45,            0.061475,            0.032124,                   0,             0.67593,             0.95833,             0.84598,             0.33238,            0.042703,            0.030687,                   0,           0.0017061,           0.0017061,            0.074206
                  46,            0.057461,            0.029796,                   0,             0.79949,             0.99694,             0.94227,             0.38463,            0.042763,            0.030021,                   0,            0.001704,            0.001704,            0.073604
                  47,            0.053062,            0.027854,                   0,             0.81668,              0.9284,             0.92357,             0.48837,            0.038149,            0.030698,                   0,              0.0017,              0.0017,               0.073
                  48,            0.052772,            0.027782,                   0,             0.47043,             0.99936,             0.60579,             0.28688,            0.056122,            0.025987,                   0,           0.0016943,           0.0016943,            0.072394
                  49,             0.05864,            0.027412,                   0,              0.7994,             0.83036,             0.83564,             0.15459,            0.049322,            0.027327,                   0,           0.0016868,           0.0016868,            0.071787
                  50,            0.062913,            0.028305,                   0,             0.80533,              0.8622,             0.89241,              0.4065,            0.050419,            0.026639,                   0,           0.0016775,           0.0016775,            0.071178
                  51,            0.058279,             0.03144,                   0,             0.73818,             0.82262,             0.85983,             0.40778,            0.041305,            0.028179,                   0,           0.0016665,           0.0016665,            0.070567
                  52,            0.055238,            0.027567,                   0,             0.67974,                0.75,             0.75086,             0.28142,            0.047918,            0.026647,                   0,           0.0016539,           0.0016539,            0.069954
                  53,            0.060588,            0.023834,                   0,             0.74849,              0.8682,             0.90519,             0.47832,            0.039031,            0.027622,                   0,           0.0016397,           0.0016397,             0.06934
                  54,            0.055596,            0.034962,                   0,             0.78103,             0.89208,             0.91566,             0.44663,            0.040812,            0.026821,                   0,           0.0016239,           0.0016239,            0.068724
                  55,            0.053699,            0.022641,                   0,             0.85115,             0.95317,             0.96312,             0.37849,            0.046704,            0.025506,                   0,           0.0016067,           0.0016067,            0.068107
                  56,            0.051884,            0.024518,                   0,             0.88334,             0.66667,             0.82474,             0.41087,            0.046603,            0.024689,                   0,            0.001588,            0.001588,            0.067488
                  57,            0.056405,             0.02562,                   0,             0.99539,                   1,               0.995,             0.41828,            0.041613,            0.025651,                   0,           0.0015679,           0.0015679,            0.066868
                  58,            0.049516,            0.023497,                   0,             0.91644,                   1,             0.98317,             0.50943,             0.03765,            0.025738,                   0,           0.0015465,           0.0015465,            0.066246
                  59,            0.053336,            0.024239,                   0,             0.99946,                   1,               0.995,             0.44604,            0.043199,            0.024452,                   0,           0.0015238,           0.0015238,            0.065624
                  60,            0.050657,            0.023551,                   0,             0.95992,             0.99789,              0.9818,             0.63052,             0.04427,            0.023623,                   0,           0.0014999,           0.0014999,               0.065
                  61,            0.054805,            0.025122,                   0,             0.91075,             0.95833,              0.9094,              0.3069,            0.053895,            0.022098,                   0,            0.001475,            0.001475,            0.064375
                  62,            0.061912,            0.021488,                   0,             0.91075,             0.95833,              0.9094,              0.3069,            0.053895,            0.022098,                   0,            0.001449,            0.001449,            0.063749
                  63,            0.062158,            0.020928,                   0,             0.81424,             0.91667,              0.8856,             0.31147,            0.060906,             0.02072,                   0,            0.001422,            0.001422,            0.063122
                  64,            0.062333,             0.02437,                   0,             0.94901,             0.95833,             0.98181,             0.37752,            0.055161,            0.021437,                   0,           0.0013942,           0.0013942,            0.062494
                  65,            0.052595,            0.022542,                   0,              0.9999,                   1,               0.995,             0.55389,            0.038354,            0.023795,                   0,           0.0013655,           0.0013655,            0.061866
                  66,            0.047609,            0.022639,                   0,             0.99926,                   1,               0.995,              0.6125,            0.036801,            0.023595,                   0,           0.0013362,           0.0013362,            0.061236
                  67,            0.047483,            0.026163,                   0,             0.99958,                   1,               0.995,             0.56693,            0.032632,             0.02419,                   0,           0.0013062,           0.0013062,            0.060606
                  68,            0.047133,            0.026311,                   0,             0.85712,             0.99984,             0.94312,             0.48889,            0.046171,            0.021402,                   0,           0.0012757,           0.0012757,            0.059976
                  69,            0.055613,            0.022705,                   0,             0.85712,             0.99984,             0.94312,             0.48889,            0.046171,            0.021402,                   0,           0.0012447,           0.0012447,            0.059345
                  70,            0.055076,             0.02223,                   0,             0.70528,             0.99718,             0.87526,             0.37401,            0.050909,            0.020476,                   0,           0.0012134,           0.0012134,            0.058713
                  71,             0.05287,             0.02456,                   0,             0.92299,             0.99889,             0.96945,             0.54294,            0.041705,            0.021556,                   0,           0.0011818,           0.0011818,            0.058082
                  72,               0.049,            0.019517,                   0,             0.99937,                   1,               0.995,             0.56449,            0.037659,            0.021898,                   0,             0.00115,             0.00115,             0.05745
                  73,            0.054311,            0.026069,                   0,             0.99959,                   1,               0.995,             0.67798,            0.033064,            0.022444,                   0,           0.0011182,           0.0011182,            0.056818
                  74,            0.045289,            0.022188,                   0,             0.99959,                   1,               0.995,             0.67798,            0.033064,            0.022444,                   0,           0.0010864,           0.0010864,            0.056186
                  75,            0.049249,            0.020814,                   0,             0.99992,                   1,               0.995,             0.67231,            0.034311,            0.022022,                   0,           0.0010547,           0.0010547,            0.055555
                  76,            0.041606,            0.023064,                   0,              0.9995,                   1,               0.995,             0.70265,            0.029637,            0.022362,                   0,           0.0010233,           0.0010233,            0.054923
                  77,            0.045199,            0.024384,                   0,             0.99956,                   1,               0.995,             0.62207,            0.031706,            0.021737,                   0,          0.00099214,          0.00099214,            0.054292
                  78,            0.044365,             0.02299,                   0,             0.99956,                   1,               0.995,             0.62207,            0.031706,            0.021737,                   0,          0.00096146,          0.00096146,            0.053661
                  79,            0.049379,             0.02556,                   0,             0.99983,                   1,               0.995,             0.64125,            0.032531,            0.021276,                   0,          0.00093132,          0.00093132,            0.053031
                  80,            0.040513,            0.023218,                   0,             0.99991,                   1,               0.995,             0.62052,            0.031379,            0.021151,                   0,          0.00090182,          0.00090182,            0.052402
                  81,            0.041703,            0.025362,                   0,             0.95974,                   1,              0.9786,             0.65378,             0.02894,            0.021363,                   0,          0.00087307,          0.00087307,            0.051773
                  82,            0.041288,            0.020128,                   0,             0.95974,                   1,              0.9786,             0.65378,             0.02894,            0.021363,                   0,          0.00084516,          0.00084516,            0.051145
                  83,             0.04284,            0.026983,                   0,              0.9598,                   1,              0.9786,             0.65144,            0.028653,            0.021153,                   0,          0.00081821,          0.00081821,            0.050518
                  84,            0.043625,             0.02052,                   0,             0.99967,                   1,               0.995,             0.52031,            0.034091,            0.020425,                   0,          0.00079232,          0.00079232,            0.049892
                  85,            0.040531,            0.023354,                   0,             0.99967,                   1,               0.995,             0.52031,            0.034091,            0.020425,                   0,          0.00076759,          0.00076759,            0.049268
                  86,            0.038877,             0.01998,                   0,             0.99996,                   1,               0.995,             0.51956,            0.033181,            0.020345,                   0,          0.00074413,          0.00074413,            0.048644
                  87,            0.036647,            0.020068,                   0,             0.99967,                   1,               0.995,             0.66116,            0.028425,            0.020534,                   0,          0.00072204,          0.00072204,            0.048022
                  88,            0.041947,            0.021704,                   0,             0.99967,                   1,               0.995,             0.66116,            0.028425,            0.020534,                   0,          0.00070143,          0.00070143,            0.047401
                  89,            0.042383,             0.02066,                   0,             0.99978,                   1,               0.995,             0.65307,            0.029145,            0.020271,                   0,          0.00068239,          0.00068239,            0.046782
                  90,            0.040586,            0.021465,                   0,             0.99989,                   1,               0.995,             0.66486,            0.028603,            0.020242,                   0,          0.00066503,          0.00066503,            0.046165
                  91,            0.040718,            0.020258,                   0,             0.99989,                   1,               0.995,             0.66486,            0.028603,            0.020242,                   0,          0.00064945,          0.00064945,            0.045549
                  92,            0.038412,            0.021446,                   0,             0.99997,                   1,               0.995,             0.60852,            0.028995,            0.020057,                   0,          0.00063575,          0.00063575,            0.044936
                  93,            0.037191,            0.020971,                   0,             0.99978,                   1,               0.995,             0.66506,             0.02607,            0.020086,                   0,          0.00062401,          0.00062401,            0.044324
                  94,              0.0397,            0.024869,                   0,             0.99978,                   1,               0.995,             0.66506,             0.02607,            0.020086,                   0,          0.00061435,          0.00061435,            0.043714
                  95,            0.043572,            0.023193,                   0,             0.99988,                   1,               0.995,             0.68475,            0.025916,            0.019966,                   0,          0.00060686,          0.00060686,            0.043107
                  96,            0.035469,            0.021328,                   0,             0.99988,                   1,               0.995,             0.68475,            0.025916,            0.019966,                   0,          0.00060162,          0.00060162,            0.042502
                  97,            0.037243,            0.022144,                   0,             0.99991,                   1,               0.995,             0.67797,            0.025816,            0.019899,                   0,          0.00059872,          0.00059872,            0.041899
                  98,            0.038358,            0.019257,                   0,                   1,             0.99983,               0.995,             0.69926,            0.027065,            0.019578,                   0,          0.00059827,          0.00059827,            0.041298
                  99,            0.038343,            0.022635,                   0,                   1,             0.99983,               0.995,             0.69926,            0.027065,            0.019578,                   0,          0.00060033,          0.00060033,              0.0407
